# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "RNA_seq_workflow/annotation/Hordeum_vulgare.MorexV3_pseudomolecules_assembly.60.chr.gff3" "-o" "RNA_seq_workflow/output/4_final_counts/gene_counts.txt" "-t" "gene" "-g" "gene_id" "-p" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437484.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437485.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437482.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437483.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437480.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437481.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437478.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437479.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437484.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437485.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437482.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437483.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437480.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437481.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437478.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437479.sorted.bam
HORVU.MOREX.r3.1HG0001550	1H	3690462	3691635	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001560	1H	3705388	3706834	+	1447	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001570	1H	3719941	3721114	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001580	1H	3734860	3736033	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001590	1H	3748366	3749539	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001600	1H	3763109	3764086	+	978	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001610	1H	3777835	3779008	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001620	1H	3792417	3793590	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001630	1H	3812084	3813257	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001640	1H	3824906	3826284	+	1379	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001650	1H	3826892	3829247	-	2356	0	0	1	2	1	4	3	1
HORVU.MOREX.r3.1HG0001660	1H	3829914	3833421	+	3508	6	5	2	2	4	3	17	10
HORVU.MOREX.r3.1HG0001670	1H	3833434	3834168	+	735	110	177	53	69	75	62	109	60
HORVU.MOREX.r3.1HG0001690	1H	3914908	3918194	-	3287	0	0	0	0	0	0	1	0
HORVU.MOREX.r3.1HG0001700	1H	3918699	3921273	+	2575	7	3	4	5	6	7	1	8
HORVU.MOREX.r3.1HG0001720	1H	4006789	4010075	-	3287	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001730	1H	4010580	4013154	+	2575	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001750	1H	4048070	4049448	+	1379	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001760	1H	4070036	4071209	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001770	1H	4084612	4085785	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001780	1H	4104282	4105455	+	1174	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001790	1H	4117133	4118511	+	1379	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001800	1H	4119119	4121475	-	2357	0	0	0	1	1	0	1	0
HORVU.MOREX.r3.1HG0001810	1H	4122142	4125649	+	3508	2	0	1	0	0	0	0	2
HORVU.MOREX.r3.1HG0001820	1H	4125662	4126396	+	735	7	6	4	4	5	4	4	1
HORVU.MOREX.r3.1HG0001840	1H	4207096	4210382	-	3287	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001850	1H	4210887	4213461	+	2575	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001880	1H	4298978	4302264	-	3287	0	0	0	0	1	0	0	2
HORVU.MOREX.r3.1HG0001890	1H	4302769	4305343	+	2575	6	14	3	3	11	8	7	5
HORVU.MOREX.r3.1HG0001910	1H	4323352	4325532	-	2181	12	4	7	3	4	1	5	8
HORVU.MOREX.r3.1HG0001920	1H	4331866	4333462	-	1597	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001930	1H	4334488	4336023	-	1536	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001940	1H	4341158	4342663	-	1506	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001950	1H	4343754	4345241	-	1488	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001980	1H	4377635	4379445	-	1811	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001990	1H	4383440	4384384	-	945	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002010	1H	4406872	4407078	-	207	211	74	29	46	8	26	13	16
HORVU.MOREX.r3.1HG0002020	1H	4409810	4411100	-	1291	1036	396	168	259	69	139	114	152
HORVU.MOREX.r3.1HG0002040	1H	4417015	4417801	-	787	98	76	62	46	37	62	93	74
HORVU.MOREX.r3.1HG0002050	1H	4424169	4424558	-	390	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002060	1H	4424872	4426265	-	1394	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002080	1H	4436045	4438890	+	2846	235	227	286	314	196	320	228	368
HORVU.MOREX.r3.1HG0002090	1H	4439091	4439288	+	198	0	0	0	0	0	0	1	0
HORVU.MOREX.r3.1HG0002100	1H	4450881	4453238	+	2358	0	0	0	4	0	0	0	0
HORVU.MOREX.r3.1HG0002130	1H	4484748	4488572	-	3825	272	249	276	201	178	242	285	185
HORVU.MOREX.r3.1HG0002140	1H	4491885	4492355	+	471	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002160	1H	4508848	4515528	+	6681	843	493	539	588	429	543	666	583
HORVU.MOREX.r3.1HG0002170	1H	4521247	4521798	+	552	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002180	1H	4521843	4523999	+	2157	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002190	1H	4524274	4524510	+	237	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002200	1H	4575633	4576247	+	615	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002210	1H	4576522	4576758	+	237	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002220	1H	4825399	4825635	+	237	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002230	1H	4858027	4858224	-	198	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002260	1H	4883526	4885095	-	1570	0	6	0	0	0	4	0	0
HORVU.MOREX.r3.1HG0002280	1H	4889937	4891855	-	1919	36	73	2	10	20	42	19	51
HORVU.MOREX.r3.1HG0002320	1H	4907564	4909543	+	1980	218	177	79	195	131	119	158	216
HORVU.MOREX.r3.1HG0002330	1H	4909938	4913639	-	3702	2584	2332	1529	2069	2228	2178	1776	2516
HORVU.MOREX.r3.1HG0002340	1H	4915134	4920356	+	5223	765	536	481	525	620	612	628	602
HORVU.MOREX.r3.1HG0002350	1H	4920810	4921547	+	738	6412	3774	7694	7311	4067	4076	5644	6705
HORVU.MOREX.r3.1HG0002380	1H	4942091	4943625	+	1535	0	0	2	0	0	0	0	0
HORVU.MOREX.r3.1HG0002390	1H	4967753	4969166	-	1414	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002400	1H	5005376	5006789	-	1414	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002410	1H	5008978	5011488	+	2511	16	10	15	8	26	6	26	46
HORVU.MOREX.r3.1HG0002440	1H	5058337	5060868	+	2532	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002450	1H	5067152	5069794	+	2643	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002470	1H	5075230	5075986	+	757	4	2	2	4	0	4	0	0
HORVU.MOREX.r3.1HG0002500	1H	5080842	5082410	+	1569	8	11	10	3	3	6	14	2
HORVU.MOREX.r3.1HG0002510	1H	5095543	5109506	-	13964	10717	14992	10879	9578	11588	13965	9594	12635
HORVU.MOREX.r3.1HG0002520	1H	5111508	5112843	-	1336	30	6	7	4	0	24	5	5
HORVU.MOREX.r3.1HG0002530	1H	5116093	5116655	-	563	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002560	1H	5139979	5142736	+	2758	225	185	215	195	188	147	210	216
HORVU.MOREX.r3.1HG0002570	1H	5152328	5154076	+	1749	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002580	1H	5158104	5160592	+	2489	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002590	1H	5341121	5348287	-	7167	401	293	284	233	225	286	342	368
HORVU.MOREX.r3.1HG0002630	1H	5391943	5396772	+	4830	43	45	31	40	33	77	19	73
HORVU.MOREX.r3.1HG0002640	1H	5452156	5453418	-	1263	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002660	1H	5495137	5501701	+	6565	1342	1291	1050	1008	1265	1239	1081	1277
HORVU.MOREX.r3.1HG0002670	1H	5502299	5503663	+	1365	15	19	0	6	22	2	2	41
HORVU.MOREX.r3.1HG0002680	1H	5505598	5506682	-	1085	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002690	1H	5507091	5508170	-	1080	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002750	1H	5520201	5520752	-	552	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002770	1H	5631301	5632002	-	702	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002800	1H	5646756	5651192	+	4437	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002810	1H	5661966	5663453	+	1488	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002820	1H	5683757	5684538	+	782	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002830	1H	5691018	5693589	-	2572	1747	1690	1241	1157	1715	1544	1571	1677
HORVU.MOREX.r3.1HG0002840	1H	5694036	5698346	+	4311	3954	4128	2525	2789	4167	3338	3572	4419
HORVU.MOREX.r3.1HG0002850	1H	5700829	5701715	-	887	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002860	1H	5704000	5708872	-	4873	21	32	17	27	24	11	30	28
HORVU.MOREX.r3.1HG0002870	1H	5710783	5714227	-	3445	918	733	778	776	796	555	710	853
HORVU.MOREX.r3.1HG0002880	1H	5716511	5718523	-	2013	7646	9149	8735	8544	9442	9860	8392	10118
HORVU.MOREX.r3.1HG0002890	1H	5722869	5725586	-	2718	666	392	433	446	407	431	422	515
HORVU.MOREX.r3.1HG0002910	1H	5749821	5752339	-	2519	4	30	5	4	22	9	10	21
HORVU.MOREX.r3.1HG0002920	1H	5754051	5755507	+	1457	26	13	21	28	21	28	24	23
HORVU.MOREX.r3.1HG0002940	1H	5758191	5759633	-	1443	5	8	8	3	7	7	6	8
HORVU.MOREX.r3.1HG0002950	1H	5759868	5760962	-	1095	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002960	1H	5767392	5770657	-	3266	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002980	1H	5791397	5794210	-	2814	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002990	1H	5794787	5797378	+	2592	0	0	1	0	2	1	1	2
HORVU.MOREX.r3.1HG0003000	1H	5800064	5801506	-	1443	0	2	0	3	2	1	1	2
HORVU.MOREX.r3.1HG0003010	1H	5801741	5802835	-	1095	15	16	9	8	6	21	5	13
HORVU.MOREX.r3.1HG0003030	1H	5833270	5834530	-	1261	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003040	1H	5836660	5839251	+	2592	3	0	3	0	1	5	4	12
HORVU.MOREX.r3.1HG0003050	1H	5881373	5882692	+	1320	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003060	1H	5894693	5895685	+	993	0	0	4	0	0	4	0	2
HORVU.MOREX.r3.1HG0003070	1H	5897382	5899214	+	1833	2	2	2	6	5	4	4	10
HORVU.MOREX.r3.1HG0003080	1H	5918012	5928975	-	10964	0	0	0	2	2	0	0	2
HORVU.MOREX.r3.1HG0003090	1H	5944995	5974567	+	29573	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003100	1H	5950627	5961194	-	10568	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003110	1H	5968162	5970519	+	2358	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003120	1H	5980744	5982954	+	2211	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003130	1H	6053483	6059540	-	6058	519	366	351	337	348	383	331	404
HORVU.MOREX.r3.1HG0003140	1H	6142235	6145606	+	3372	11656	9917	8642	8526	8244	12241	8441	11584
HORVU.MOREX.r3.1HG0003150	1H	6145972	6148385	-	2414	514	466	435	436	404	506	405	537
HORVU.MOREX.r3.1HG0003160	1H	6151265	6157784	+	6520	0	0	0	0	2	0	2	0
HORVU.MOREX.r3.1HG0003170	1H	6213763	6214055	+	293	0	0	0	0	0	1	0	0
HORVU.MOREX.r3.1HG0003180	1H	6247206	6248702	-	1497	73	69	12	54	44	54	32	64
HORVU.MOREX.r3.1HG0003200	1H	6275984	6276736	-	753	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003210	1H	6278996	6288427	-	9432	0	1	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003220	1H	6296831	6298132	-	1302	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003230	1H	6300235	6306834	-	6600	0	0	0	0	1	0	0	1
HORVU.MOREX.r3.1HG0003240	1H	6478360	6479033	+	674	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003260	1H	6684668	6692035	-	7368	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003270	1H	6695881	6697565	+	1685	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003280	1H	6698673	6706333	-	7661	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003290	1H	6745005	6752823	-	7819	128	115	79	80	138	124	69	75
HORVU.MOREX.r3.1HG0003300	1H	6755469	6757255	-	1787	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003310	1H	6787041	6788808	+	1768	16	24	8	8	3	10	15	12
HORVU.MOREX.r3.1HG0003380	1H	6881481	6882105	+	625	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003390	1H	6892310	6906190	+	13881	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003410	1H	6930088	6938798	+	8711	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003430	1H	6978204	6982039	+	3836	1872	1747	1947	1320	1527	1713	1587	1616
HORVU.MOREX.r3.1HG0003440	1H	7031208	7035161	+	3954	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003450	1H	7097113	7101052	+	3940	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003470	1H	7182710	7184886	+	2177	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003490	1H	7252051	7255659	+	3609	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003520	1H	7285171	7288779	+	3609	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003550	1H	7301728	7305336	+	3609	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003580	1H	7368378	7370554	+	2177	0	0	0	0	0	0	0	0
